jhu_province,jhu_country,province,country,id,value,color,Change,value_old,color_old
Arizona,US,Arizona,US,mixed_21,0.916698078,red,yellow,0.93215228,red
California,US,California,US,mixed_22,0.967137139,red,red,0.924269289,red
New Mexico,US,New Mexico,US,mixed_23,0.794178794,red,red,0.804870805,red
Texas,US,Texas,US,mixed_24,0.908200538,red,red,0.944783797,red
Alaska,US,Alaska,US,mixed_25,0.152671756,yellow,red,0.095419847,green
Louisiana,US,Louisiana,US,mixed_27,0.323194454,yellow,red,0.260203721,yellow
Mississippi,US,Mississippi,US,mixed_28,0.94511427,red,red,0.86665467,red
Alabama,US,Alabama,US,mixed_29,0.975671406,red,red,0.862616034,red
Florida,US,Florida,US,mixed_30,0.650033445,orange,red,0.586354515,orange
South Carolina,US,South Carolina,US,mixed_32,0.850589441,red,red,0.80035879,red
North Carolina,US,North Carolina,US,mixed_33,1,red,red,0.959843291,red
Virginia,US,Virginia,US,mixed_34,0.951216838,red,red,0.924358693,red
District of Columbia,US,District of Columbia,US,mixed_35,0.688719899,orange,red,0.682636248,orange
Maryland,US,Maryland,US,mixed_36,0.927775197,red,red,0.82438458,red
Delaware,US,Delaware,US,mixed_37,0.81006259,red,red,0.792007703,red
New Jersey,US,New Jersey,US,mixed_38,0.314332834,yellow,yellow,0.32120683,yellow
Connecticut,US,Connecticut,US,mixed_39,0.500769116,orange,yellow,0.528109959,orange
Washington,US,Washington,US,mixed_4,0.387110318,yellow,red,0.445785662,orange
Rhode Island,US,Rhode Island,US,mixed_40,0.516563945,orange,red,0.518618387,orange
Massachusetts,US,Massachusetts,US,mixed_41,0.464627434,orange,yellow,0.4861558,orange
Oregon,US,Oregon,US,mixed_42,0.653872515,orange,red,0.814941741,red
Hawaii,US,Hawaii,US,mixed_47,0.019748654,green,red,0.039497307,green
Utah,US,Utah,US,mixed_49,0.961381476,red,red,0.889481947,red
Wyoming,US,Wyoming,US,mixed_50,0.512658228,orange,red,0.483122363,orange
Nevada,US,Nevada,US,mixed_51,0.740825688,orange,red,0.695609436,orange
Colorado,US,Colorado,US,mixed_52,0.583226044,orange,red,0.614217399,orange
South Dakota,US,South Dakota,US,mixed_53,0.561620469,orange,red,0.820042644,red
Nebraska,US,Nebraska,US,mixed_54,0.688282805,orange,red,0.608919583,orange
Kansas,US,Kansas,US,mixed_55,0.509575354,orange,red,0.484096586,orange
Oklahoma,US,Oklahoma,US,mixed_56,0.867132867,red,red,0.767585356,orange
Iowa,US,Iowa,US,mixed_57,0.64544676,orange,red,0.64573223,orange
Missouri,US,Missouri,US,mixed_58,0.58954197,orange,red,0.570473757,orange
Wisconsin,US,Wisconsin,US,mixed_59,1,red,red,0.925854953,red
Idaho,US,Idaho,US,mixed_6,0.32386059,yellow,red,0.25844504,yellow
Illinois,US,Illinois,US,mixed_60,0.840186825,red,red,0.851435244,red
Kentucky,US,Kentucky,US,mixed_61,0.809572826,red,red,0.761451364,orange
Arkansas,US,Arkansas,US,mixed_62,0.986377925,red,red,0.739892665,orange
Tennessee,US,Tennessee,US,mixed_63,0.619669876,orange,red,0.607290234,orange
West Virginia,US,West Virginia,US,mixed_64,0.794486216,orange,red,0.468671679,orange
Indiana,US,Indiana,US,mixed_65,0.743073231,orange,red,0.720456694,orange
Montana,US,Montana,US,mixed_7,0.087719298,green,red,0.055137845,green
,Uzbekistan,,Uzbekistan,211,0.465760322,orange,red,0.444612286,orange
,Venezuela,,Venezuela,213,1,red,,1,red
,Vietnam,,Vietnam,215,0.313043478,yellow,green,0.27826087,yellow
,West Bank and Gaza,,West Bank and Gaza,,0.251308901,yellow,,0.031413613,green
,Western Sahara,,Western Sahara,236,0,green,,0,green
,Yemen,,Yemen,221,0.992982456,red,,0.180288462,yellow
,Zambia,,Zambia,222,0.798157454,green,,1,red
,Zimbabwe,,Zimbabwe,223,0.966666667,red,red,0.714285714,orange
,Tajikistan,,Tajikistan,195,,,red,,
